,LO1,LA1,EL1,LO1,LA1,EL1,VISIBLE
214,83.6,27.3,94.37042999,83.5,28.7,7631.313477,5625.284307
215,82.9,27.4,92.0677948,83.5,28.7,7631.313477,5625.084511
216,87.2,27.1,430.450531,86.9,28,6908.385742,5622.390208
217,84.1,27.5,339.2953186,83.5,28.7,7631.313477,5620.964736
218,87.1,26.6,85.10871887,87.1,27.9,7346.435547,5619.600247
219,86.4,26.8,183.4888916,87.1,27.9,7346.435547,5611.994435
220,87.2,27,256.7715454,86.9,28,6908.385742,5611.448352
221,86.5,27.2,984.9729614,87.1,27.9,7346.435547,5610.545281
222,87.5,26.7,215.3363037,87.1,27.9,7346.435547,5609.501391
223,87,26.6,88.07762909,87.1,27.9,7346.435547,5608.954502
224,86.3,26.9,276.7989807,87.1,27.9,7346.435547,5608.169049
225,82.7,27.9,919.4622192,83.5,28.7,7631.313477,5608.102256
226,87.8,26.8,187.4114838,87.1,27.9,7346.435547,5608.071843
227,87.7,27.2,988.1430054,87.1,27.9,7346.435547,5607.375237
228,83.3,27.3,89.83555603,83.5,28.7,7631.313477,5607.101731
229,87.2,26.6,91.21292114,87.1,27.9,7346.435547,5605.81921
230,86.8,27.5,1518.979736,87.1,27.9,7346.435547,5603.480634
231,83,27.8,1053.882202,83.5,28.7,7631.313477,5602.06428
232,82.6,27.9,802.5015259,83.5,28.7,7631.313477,5597.038125
233,83.7,27.3,100.3594666,83.5,28.7,7631.313477,5596.577821
234,82.3,28.1,603.6469727,83.5,28.7,7631.313477,5595.487211
235,82.6,28.4,1342.497437,83.5,28.7,7631.313477,5594.210572
236,87.6,26.7,162.9104004,87.1,27.9,7346.435547,5592.89697
237,84,27.4,207.7514038,83.5,28.7,7631.313477,5592.621871
238,86.2,26.9,163.1181641,87.1,27.9,7346.435547,5591.692399
239,84.2,28.3,1521.161133,83.5,28.7,7631.313477,5587.060947
240,87.3,27.4,851.4530029,86.9,28,6908.385742,5585.391167
241,86.9,26.6,90.24801636,87.1,27.9,7346.435547,5583.753633
242,86.6,26.9,601.819519,87.1,27.9,7346.435547,5581.749296
243,84,27.8,1074.222168,83.5,28.7,7631.313477,5581.724314
244,83.2,27.9,1362.255493,83.5,28.7,7631.313477,5579.514513
